time_s,scheduled_time_s,x,y,z,roll_rad,pitch_rad,yaw_rad,valid
0.002039,0.002034,-2515.012695,2.694679,1.122875,-0.000000533,-0.000283122,3.140670061,1
0.053172,0.052033,-2515.873291,2.695255,1.123118,-0.000000533,-0.000283122,3.141085148,1
0.102357,0.102033,-2516.303467,2.695344,1.123239,-0.000000533,-0.000283122,3.141382694,1
0.151957,0.152033,-2517.163818,2.695294,1.123483,-0.000000533,-0.000283122,-3.141463280,1
0.202058,0.202033,-2517.594238,2.695204,1.123605,-0.000000533,-0.000283122,-3.141383648,1
0.253096,0.252033,-2518.454346,2.694925,1.123848,-0.000000533,-0.000283122,-3.141323805,1
0.302207,0.302033,-2518.884277,2.694794,1.123970,-0.000000533,-0.000283122,-3.141288757,1
0.353242,0.352033,-2519.744629,2.694490,1.124213,-0.000000533,-0.000283122,-3.141222715,1
0.402356,0.402033,-2520.175049,2.694317,1.124334,-0.000000533,-0.000283122,-3.141188860,1
0.452924,0.452033,-2521.036377,2.693797,1.124693,0.000186246,-0.000078440,-3.140885115,1
0.502073,0.502033,-2521.467041,2.693455,1.124706,0.000042669,0.001650572,-3.140791893,1
0.552122,0.552033,-2522.328125,2.692845,1.124930,-0.000010120,0.001080751,-3.140944481,1
0.602249,0.602033,-2522.758545,2.692753,1.125052,-0.000008522,0.001079678,-3.141381502,1
0.653286,0.652033,-2523.618408,2.693310,1.124893,0.000345658,0.000902414,3.140585661,1
0.702930,0.702033,-2524.048584,2.694141,1.119668,0.000071450,-0.001133680,3.140212297,1
0.752974,0.752033,-2524.909424,2.695774,1.122138,0.000004781,-0.000284433,3.139574289,1
0.802069,0.802033,-2525.339844,2.696689,1.122262,0.000000000,-0.000282407,3.139462709,1
0.853102,0.852033,-2526.200439,2.698347,1.122505,0.000000000,-0.000282407,3.139786243,1
0.902206,0.902033,-2526.630371,2.699080,1.122626,0.000000000,-0.000282407,3.139888287,1
0.953293,0.952033,-2527.490234,2.700125,1.122869,0.000000000,-0.000282407,3.140538216,1
1.002900,1.002033,-2527.920166,2.700464,1.122990,0.000000000,-0.000282407,3.140803337,1
1.052957,1.052033,-2528.780518,2.700686,1.123233,0.000000000,-0.000282407,3.141507864,1
1.103044,1.102033,-2529.210449,2.700631,1.123355,0.000000000,-0.000282407,-3.141465664,1
1.153351,1.152033,-2530.071045,2.700262,1.123598,0.000000000,-0.000282407,-3.140984535,1
1.202967,1.202033,-2530.500732,2.699752,1.123719,-0.000000000,-0.000282407,-3.140408278,1
1.253016,1.252033,-2531.359863,2.698363,1.123962,0.000000000,-0.000282407,-3.139903069,1
1.302141,1.302033,-2531.789551,2.697545,1.124083,0.000000000,-0.000282407,-3.139692545,1
1.352191,1.352033,-2532.649414,2.695832,1.124325,0.000000014,-0.000282407,-3.139626980,1
1.402285,1.402033,-2533.078613,2.695192,1.124447,0.000000149,-0.000282407,-3.140105486,1
1.452327,1.452033,-2533.937012,2.694380,1.124846,-0.000042078,0.002457619,-3.140755177,1
1.502928,1.502033,-2534.366455,2.694176,1.124777,0.000021464,0.001136661,-3.141120195,1
1.552987,1.552033,-2535.225586,2.694289,1.125040,0.000007970,0.001080751,3.141243219,1
1.602085,1.602033,-2535.655029,2.694669,1.125182,0.000003741,0.001080155,3.140701771,1
1.653110,1.652033,-2536.514160,2.695661,1.117298,0.000034189,-0.002030849,3.140179634,1
1.702209,1.702033,-2536.943848,2.696373,1.121844,0.000016540,-0.000351191,3.139923096,1
1.753223,1.752033,-2537.802734,2.697608,1.122246,-0.000000533,-0.000282168,3.140275240,1
1.802325,1.802033,-2538.232422,2.698033,1.122367,-0.000000533,-0.000282168,3.140603065,1
1.851931,1.852033,-2539.091309,2.698444,1.122610,-0.000000533,-0.000282168,3.141188860,1
1.902158,1.902033,-2539.520996,2.698540,1.122730,-0.000000533,-0.000282168,3.141366243,1
1.953216,1.952033,-2540.380615,2.698494,1.122972,-0.000000533,-0.000282168,-3.141456366,1
2.002329,2.002033,-2540.810791,2.698332,1.123094,-0.000000533,-0.000282168,-3.141215324,1
2.052905,2.052033,-2541.671387,2.697768,1.123336,-0.000000533,-0.000282168,-3.140866995,1
2.102019,2.102033,-2542.101807,2.697376,1.123458,-0.000000533,-0.000282168,-3.140686035,1
2.152075,2.152033,-2542.962646,2.696290,1.123700,-0.000000533,-0.000282168,-3.140197754,1
2.202158,2.202033,-2543.393311,2.695560,1.123821,-0.000000533,-0.000282168,-3.139897585,1
2.252209,2.252033,-2544.254395,2.693968,1.124064,-0.000000533,-0.000282168,-3.139747143,1
2.302306,2.302033,-2544.685059,2.693244,1.124185,-0.000000533,-0.000282168,-3.139915705,1
2.352888,2.352033,-2545.545654,2.692285,1.124428,-0.000000533,-0.000282168,-3.140658379,1
2.402960,2.402033,-2545.976074,2.692018,1.124549,-0.000000533,-0.000282168,-3.140974522,1
2.453032,2.452033,-2546.836670,2.691734,1.124829,-0.000186954,0.001425743,-3.141312838,1
2.502105,2.502033,-2547.267334,2.691631,1.124888,-0.000012251,-0.000037670,-3.141362429,1
2.553138,2.552033,-2548.128662,2.691423,1.125154,0.000000654,0.000082612,-3.141347885,1
2.602228,2.602033,-2548.559570,2.691332,1.125275,0.000000709,0.000175714,-3.141384363,1
2.653258,2.652033,-2549.421143,2.691206,1.120948,-0.000556601,-0.001542687,-3.141315699,1
2.702041,2.702033,-2549.852051,2.691122,1.125039,-0.000003196,0.000201821,-3.141390562,1
2.752097,2.752033,-2550.713379,2.691334,1.124939,-0.000001065,0.000281215,3.141151905,1
2.802194,2.802033,-2551.143799,2.691728,1.124818,-0.000001065,0.000281215,3.140672445,1
2.852240,2.852033,-2552.004883,2.693156,1.124576,-0.000001065,0.000281215,3.139688015,1
2.902342,2.902033,-2552.435303,2.694186,1.124455,-0.000001065,0.000281215,3.139195442,1
2.951988,2.952033,-2553.296875,2.696712,1.124213,-0.000001065,0.000281215,3.138517141,1
3.002065,3.002033,-2553.727295,2.697994,1.124091,-0.000001065,0.000281215,3.138611794,1
3.053081,3.052033,-2554.587891,2.700293,1.123849,-0.000001065,0.000281215,3.138983250,1
3.102185,3.102033,-2555.017822,2.701216,1.123728,-0.000001065,0.000281215,3.139440775,1
3.152232,3.152033,-2555.877686,2.702394,1.123486,-0.000001065,0.000281215,3.140470982,1
3.202321,3.202033,-2556.307861,2.702670,1.123365,-0.000001065,0.000281215,3.140944481,1
3.252881,3.252033,-2557.168213,2.702588,1.123123,-0.000001065,0.000281215,-3.141240358,1
3.302007,3.302033,-2557.598389,2.702303,1.123002,-0.000001065,0.000281215,-3.140935183,1
3.353028,3.352033,-2558.458252,2.701595,1.122760,-0.000001065,0.000281215,-3.140652895,1
3.402159,3.402033,-2558.887939,2.701150,1.122600,0.000029756,0.000664711,-3.140566587,1
3.453189,3.452033,-2559.748291,2.700256,1.122396,-0.000001065,0.000121951,-3.140550852,1
3.502328,3.502033,-2560.178467,2.699811,1.122274,-0.000000533,0.000025034,-3.140563250,1
3.552913,3.552033,-2561.038330,2.699271,1.122036,-0.000001065,-0.000158191,-3.141105890,1
3.602002,3.602033,-2561.468506,2.699134,1.121577,0.000009685,-0.000382304,-3.141281128,1
3.653033,3.652033,-2562.329102,2.698861,1.122083,-0.000000533,-0.000281095,-3.141212940,1
3.702137,3.702033,-2562.759277,2.698606,1.122204,-0.000000533,-0.000281095,-3.141006947,1
3.752186,3.752033,-2563.619873,2.697667,1.122446,-0.000000533,-0.000281095,-3.140317202,1
3.802260,3.802033,-2564.050049,2.697014,1.122567,-0.000000533,-0.000281095,-3.140079975,1
3.852338,3.852033,-2564.910889,2.695552,1.122809,-0.000000533,-0.000281095,-3.139848709,1
3.901941,3.902033,-2565.341553,2.694787,1.122929,-0.000000533,-0.000281095,-3.139822245,1
3.952027,3.952033,-2566.202637,2.693487,1.123171,-0.000000533,-0.000281095,-3.140245438,1
4.002123,4.002033,-2566.633057,2.693038,1.123292,-0.000000533,-0.000281095,-3.140557528,1
4.053164,4.052033,-2567.494141,2.692562,1.123534,-0.000000533,-0.000281095,-3.141260862,1
4.102277,4.102033,-2567.924316,2.692692,1.123655,-0.000000533,-0.000281095,3.141284466,1
4.152359,4.152033,-2568.783936,2.693296,1.123896,-0.000000533,-0.000281095,3.140886068,1
4.202905,4.202033,-2569.213379,2.693612,1.124016,-0.000000533,-0.000281095,3.140852690,1
4.252967,4.252033,-2570.072510,2.694116,1.124257,-0.000000533,-0.000281095,3.141019583,1
4.302047,4.302033,-2570.502686,2.694346,1.124378,-0.000000533,-0.000281095,3.141050339,1
4.353060,4.352033,-2571.362793,2.694899,1.124994,0.000498871,0.001082778,3.140889645,1
4.402132,4.402033,-2571.792969,2.695180,1.124756,0.000002246,0.001083255,3.140930653,1
4.452179,4.452033,-2572.653320,2.695475,1.124971,0.000002708,0.001083255,3.141357422,1
