session_time_s,obs_duration_s,difference_s,output_timecode,output_bytes
0.002173,0.000000,-0.002173,00:00:00.000,0
1.003362,0.749000,-0.254362,00:00:00.749,1333580
2.003655,1.749000,-0.254655,00:00:01.749,3002923
3.004925,2.749000,-0.255925,00:00:02.749,4664781
4.005439,3.733000,-0.272439,00:00:03.733,6284221
5.005568,4.733000,-0.272568,00:00:04.733,8096232
6.006544,5.733000,-0.273544,00:00:05.733,9777848
7.007045,6.733000,-0.274045,00:00:06.733,11462337
8.007819,7.749000,-0.258819,00:00:07.749,13180946
9.008928,8.749000,-0.259928,00:00:08.749,14938229
10.009916,9.749000,-0.260916,00:00:09.749,16618212
11.010506,10.749000,-0.261506,00:00:10.749,18300059
12.010965,11.749000,-0.261965,00:00:11.749,20411064
13.013231,12.749000,-0.264231,00:00:12.749,21033109
14.014216,13.766000,-0.248216,00:00:13.766,22752082
15.016177,14.766000,-0.250177,00:00:14.766,24425396
16.016824,15.749000,-0.267824,00:00:15.749,26067642
17.017441,16.749000,-0.268441,00:00:16.749,27751360
18.017566,17.749000,-0.268566,00:00:17.749,29409796
19.017682,18.749000,-0.268682,00:00:18.749,31072225
20.018266,19.749000,-0.269266,00:00:19.749,32748119
21.018507,20.749000,-0.269507,00:00:20.749,34477581
22.018672,21.766000,-0.252672,00:00:21.766,36205624
23.019372,22.766000,-0.253372,00:00:22.766,37883219
24.019574,23.766000,-0.253574,00:00:23.766,39557908
25.020302,24.749000,-0.271302,00:00:24.749,41244937
26.021241,25.749000,-0.272241,00:00:25.749,42916433
27.021525,26.749000,-0.272525,00:00:26.749,44589204
28.022344,27.749000,-0.273344,00:00:27.749,46266410
29.023185,28.749000,-0.274185,00:00:28.749,47924916
30.023328,29.766000,-0.257328,00:00:29.766,49647300
31.024276,30.766000,-0.258276,00:00:30.766,51324708
32.024389,31.766000,-0.258389,00:00:31.766,53007905
33.025169,32.766000,-0.259169,00:00:32.766,54742297
34.025369,33.766000,-0.259369,00:00:33.766,56409960
35.026219,34.766000,-0.260219,00:00:34.766,58076347
36.026565,35.749000,-0.277565,00:00:35.749,59703936
37.027363,36.749000,-0.278363,00:00:36.749,61435289
38.028123,37.766000,-0.262123,00:00:37.766,63120555
39.028433,38.766000,-0.262433,00:00:38.766,64799246
40.029175,39.766000,-0.263175,00:00:39.766,66482578
41.029220,40.766000,-0.263220,00:00:40.766,68174975
42.030096,41.766000,-0.264096,00:00:41.766,69850479
43.030348,42.766000,-0.264348,00:00:42.766,71532920
44.031203,43.783000,-0.248203,00:00:43.783,73260562
45.032005,44.783000,-0.249005,00:00:44.783,74959860
46.032783,45.766000,-0.266783,00:00:45.766,76662330
47.033250,46.766000,-0.267250,00:00:46.766,78350046
48.034040,47.766000,-0.268040,00:00:47.766,80029534
49.034204,48.766000,-0.268204,00:00:48.766,81712823
50.034388,49.766000,-0.268388,00:00:49.766,83400975
51.035013,50.766000,-0.269013,00:00:50.766,85081185
52.035080,51.783000,-0.252080,00:00:51.783,86778741
53.035374,52.783000,-0.252374,00:00:52.783,88460047
54.036065,53.783000,-0.253065,00:00:53.783,90190483
55.036125,54.783000,-0.253125,00:00:54.783,91858039
56.037071,55.766000,-0.271071,00:00:55.766,93489974
57.037220,56.766000,-0.271220,00:00:56.766,95166196
58.038060,57.766000,-0.272060,00:00:57.766,96886527
59.038889,58.766000,-0.272889,00:00:58.766,98560091
60.039185,59.783000,-0.256185,00:00:59.783,100268758
61.040196,60.783000,-0.257196,00:01:00.783,101939122
62.041784,61.783000,-0.258784,00:01:01.783,103575697
63.042677,62.783000,-0.259677,00:01:02.783,105244629
64.042839,63.783000,-0.259839,00:01:03.783,106919255
65.044237,64.783000,-0.261237,00:01:04.783,108576203
66.044907,65.783000,-0.261907,00:01:05.783,110286703
67.045809,66.783000,-0.262809,00:01:06.783,111941761
68.046821,67.783000,-0.263821,00:01:07.783,113604791
69.047011,68.783000,-0.264011,00:01:08.783,115270241
