session_time_s,obs_duration_s,difference_s,output_timecode,output_bytes
0.002416,0.000000,-0.002416,00:00:00.000,13991664489
1.003613,0.749000,-0.254613,00:00:00.749,13991941791
2.004178,1.749000,-0.255178,00:00:01.749,13992079697
3.004725,2.749000,-0.255725,00:00:02.749,13992209767
4.005441,3.749000,-0.256441,00:00:03.749,13992337696
5.005453,4.749000,-0.256453,00:00:04.749,13992633328
6.005645,5.749000,-0.256645,00:00:05.749,13992811297
7.007138,6.749000,-0.258138,00:00:06.749,13993487579
8.008348,7.749000,-0.259348,00:00:07.749,13994622478
9.008498,8.749000,-0.259498,00:00:08.749,13996125233
10.010514,9.749000,-0.261514,00:00:09.749,13997721544
11.011899,10.749000,-0.262899,00:00:10.749,13999511345
12.013576,11.749000,-0.264576,00:00:11.749,14000172092
13.014360,12.749000,-0.265360,00:00:12.749,14001828612
14.015821,13.766000,-0.249821,00:00:13.766,14003530338
15.017546,14.766000,-0.251546,00:00:14.766,14005295798
16.018495,15.766000,-0.252495,00:00:15.766,14006948914
17.019913,16.766000,-0.253913,00:00:16.766,14008620005
18.021642,17.766000,-0.255642,00:00:17.766,14010288753
19.022348,18.766000,-0.256348,00:00:18.766,14012091626
20.023080,19.766000,-0.257080,00:00:19.766,14013739165
21.023771,20.766000,-0.257771,00:00:20.766,14015376800
22.025502,21.766000,-0.259502,00:00:21.766,14017027980
23.026404,22.766000,-0.260404,00:00:22.766,14018676892
24.027154,23.766000,-0.261154,00:00:23.766,14020424292
25.028748,24.766000,-0.262748,00:00:24.766,14022091604
26.030148,25.766000,-0.264148,00:00:25.766,14023743171
27.030326,26.766000,-0.264326,00:00:26.766,14025381571
28.031265,27.783000,-0.248265,00:00:27.783,14027225348
29.031490,28.783000,-0.248490,00:00:28.783,14028890962
30.032209,29.783000,-0.249209,00:00:29.783,14030557353
31.032413,30.766000,-0.266413,00:00:30.766,14032180291
32.033106,31.766000,-0.267106,00:00:31.766,14033978613
33.034733,32.766000,-0.268733,00:00:32.766,14035634658
34.035302,33.783000,-0.252302,00:00:33.783,14037306902
35.035410,34.783000,-0.252410,00:00:34.783,14038977171
36.037051,35.783000,-0.254051,00:00:35.783,14040756713
37.037026,36.783000,-0.254026,00:00:36.783,14042419859
38.037354,37.783000,-0.254354,00:00:37.783,14044084582
39.037413,38.783000,-0.254413,00:00:38.783,14045765285
40.037534,39.783000,-0.254534,00:00:39.783,14047591760
41.039174,40.783000,-0.256174,00:00:40.783,14049263789
42.040037,41.783000,-0.257037,00:00:41.783,14050936087
43.040213,42.783000,-0.257213,00:00:42.783,14052607666
44.041006,43.783000,-0.258006,00:00:43.783,14054391786
45.041275,44.783000,-0.258275,00:00:44.783,14056057980
46.042126,45.783000,-0.259126,00:00:45.783,14057723837
47.042692,46.783000,-0.259692,00:00:46.783,14059388667
48.043038,47.783000,-0.260038,00:00:47.783,14061046326
49.043703,48.783000,-0.260703,00:00:48.783,14062811735
50.044032,49.783000,-0.261032,00:00:49.783,14064470686
51.045232,50.799000,-0.246232,00:00:50.799,14066174230
52.046317,51.783000,-0.263317,00:00:51.783,14067796251
53.047949,52.783000,-0.264949,00:00:52.783,14069561918
54.048882,53.783000,-0.265882,00:00:53.783,14071228478
55.049740,54.783000,-0.266740,00:00:54.783,14072907044
56.049930,55.783000,-0.266930,00:00:55.783,14074585419
57.050958,56.783000,-0.267958,00:00:56.783,14076368236
58.051856,57.799000,-0.252856,00:00:57.799,14078041751
59.052691,58.799000,-0.253691,00:00:58.799,14079703118
60.054085,59.799000,-0.255085,00:00:59.799,14081352152
61.054953,60.799000,-0.255953,00:01:00.799,14083148936
62.055123,61.799000,-0.256123,00:01:01.799,14084790719
63.056017,62.799000,-0.257017,00:01:02.799,14086439507
64.056854,63.799000,-0.257854,00:01:03.799,14088082069
65.057128,64.799000,-0.258128,00:01:04.799,14089890359
66.057183,65.799000,-0.258183,00:01:05.799,14091545881
67.059120,66.799000,-0.260120,00:01:06.799,14093184145
68.060045,67.799000,-0.261045,00:01:07.799,14094826104
69.061015,68.799000,-0.262015,00:01:08.799,14096545260
70.060917,69.799000,-0.261917,00:01:09.799,14098192873
71.060989,70.799000,-0.261989,00:01:10.799,14099839113
