time_s,scheduled_time_s,x,y,z,roll_rad,pitch_rad,yaw_rad,valid
0.002298,0.002291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.067740,0.052291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.115468,0.102291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.164065,0.152291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.210802,0.202291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.258299,0.252291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.305331,0.302291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.352352,0.352291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.415315,0.402291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.464070,0.452291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.510329,0.502291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.557840,0.552291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.604481,0.602291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.666734,0.652291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.713907,0.702291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.761302,0.752291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.808687,0.802291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.855270,0.852291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.902687,0.902291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
0.965440,0.952291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.012826,1.002291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.059772,1.052291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.106416,1.102291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.153966,1.152291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.216371,1.202291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.262860,1.252291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.309454,1.302291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.356239,1.352291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.403877,1.402291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.467330,1.452291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.514867,1.502291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.562523,1.552291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.608429,1.602291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.655399,1.652291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.703040,1.702291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.765537,1.752291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.813935,1.802291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.860481,1.852291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.906702,1.902291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
1.954084,1.952291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.016972,2.002291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.064116,2.052291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.111748,2.102291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.159203,2.152291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.206857,2.202291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.253848,2.252291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.316910,2.302291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.364161,2.352291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.410647,2.402291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.457747,2.452291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.505676,2.502291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.552698,2.552291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.615345,2.602291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.663765,2.652291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.711434,2.702291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.757647,2.752291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.805751,2.802291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.853933,2.852291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.915293,2.902291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
2.961688,2.952291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
3.008597,3.002291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
3.054869,3.052291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
3.102731,3.102291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
3.165242,3.152291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
3.211158,3.202291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
3.257723,3.252291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
3.303831,3.302291,0.000002,-6.000000,1.124696,0.000000000,0.000279069,3.141591549,1
