session_time_s,obs_duration_s,difference_s,output_timecode,output_bytes
0.002464,0.000000,-0.002464,00:00:00.000,472951
1.013426,0.433000,-0.580426,00:00:00.433,608265
2.017202,1.466000,-0.551202,00:00:01.466,811131
3.024351,2.466000,-0.558351,00:00:02.466,996877
4.038791,3.466000,-0.572791,00:00:03.466,1177867
5.055471,4.499000,-0.556471,00:00:04.499,1355241
6.057303,5.499000,-0.558303,00:00:05.499,1531078
7.061910,6.499000,-0.562910,00:00:06.499,1707078
8.069867,7.499000,-0.570867,00:00:07.499,2000957
9.075656,8.499000,-0.576656,00:00:08.499,2144682
10.090365,9.533000,-0.557365,00:00:09.533,2397258
11.096020,10.533000,-0.563020,00:00:10.533,2585093
12.098895,11.533000,-0.565895,00:00:11.533,2765498
13.101853,12.533000,-0.568853,00:00:12.533,2943903
14.115771,13.566000,-0.549771,00:00:13.566,3126507
15.118730,14.566000,-0.552730,00:00:14.566,3303144
16.121100,15.566000,-0.555100,00:00:15.566,3477580
17.132717,16.566000,-0.566717,00:00:16.566,3651441
18.139246,17.566000,-0.573246,00:00:17.566,3904085
19.142037,18.566000,-0.576037,00:00:18.566,4095006
20.158091,19.599000,-0.559091,00:00:19.599,4285271
21.159959,20.599000,-0.560959,00:00:20.599,4465777
22.161504,21.599000,-0.562504,00:00:21.599,4644531
23.175119,22.599000,-0.576119,00:00:22.599,4820343
24.191071,23.633000,-0.558071,00:00:23.633,5002503
25.206802,24.633000,-0.573802,00:00:24.633,5177576
26.222760,25.666000,-0.556760,00:00:25.666,5430644
27.236911,26.666000,-0.570911,00:00:26.666,5621862
28.249818,27.699000,-0.550818,00:00:27.699,5811283
29.251142,28.699000,-0.552142,00:00:28.699,5991712
30.253992,29.699000,-0.554992,00:00:29.699,6169588
31.255328,30.699000,-0.556328,00:00:30.699,6346306
32.268489,31.699000,-0.569489,00:00:31.699,6523024
33.271935,32.699000,-0.572935,00:00:32.699,6696907
34.275200,33.699000,-0.576200,00:00:33.699,6934138
35.280877,34.699000,-0.581877,00:00:34.699,7132110
36.282026,35.733000,-0.549026,00:00:35.733,7322930
37.286930,36.733000,-0.553930,00:00:36.733,7505370
38.292946,37.733000,-0.559946,00:00:37.733,7685339
39.305472,38.733000,-0.572472,00:00:38.733,7863541
40.308231,39.733000,-0.575231,00:00:39.733,8039958
41.311861,40.733000,-0.578861,00:00:40.733,8215716
42.313969,41.733000,-0.580969,00:00:41.733,8432752
43.317540,42.766000,-0.551540,00:00:42.766,8652004
44.320003,43.766000,-0.554003,00:00:43.766,8839752
45.322416,44.766000,-0.556416,00:00:44.766,9022064
46.335964,45.766000,-0.569964,00:00:45.766,9202248
47.337937,46.766000,-0.571937,00:00:46.766,9379995
48.354416,47.799000,-0.555416,00:00:47.799,9563965
49.360717,48.799000,-0.561717,00:00:48.799,9739154
50.362378,49.799000,-0.563378,00:00:49.799,9911569
51.367965,50.799000,-0.568965,00:00:50.799,10162797
52.369169,51.799000,-0.570169,00:00:51.799,10347793
53.375929,52.799000,-0.576929,00:00:52.799,10602903
54.383539,53.833000,-0.550539,00:00:53.833,10922649
55.386427,54.833000,-0.553427,00:00:54.833,11228303
56.402390,55.833000,-0.569390,00:00:55.833,11611980
57.404751,56.833000,-0.571751,00:00:56.833,12077973
58.413925,57.866000,-0.547925,00:00:57.866,12527890
59.416922,58.866000,-0.550922,00:00:58.866,12929094
60.423507,59.866000,-0.557507,00:00:59.866,13666435
61.431544,60.866000,-0.565544,00:01:00.866,14037731
62.433773,61.866000,-0.567773,00:01:01.866,14444703
63.437267,62.866000,-0.571267,00:01:02.866,14856641
64.445489,63.866000,-0.579489,00:01:03.866,15263050
65.447519,64.866000,-0.581519,00:01:04.866,15531496
66.455338,65.899000,-0.556338,00:01:05.899,15778340
67.460289,66.899000,-0.561289,00:01:06.899,15934599
68.467123,67.899000,-0.568123,00:01:07.899,16080767
69.482489,68.933000,-0.549489,00:01:08.933,16494892
70.491720,69.933000,-0.558720,00:01:09.933,16914943
71.495892,70.933000,-0.562892,00:01:10.933,17333105
72.507426,71.933000,-0.574426,00:01:11.933,17737142
73.512455,72.933000,-0.579455,00:01:12.933,18140273
74.525862,73.966000,-0.559862,00:01:13.966,18607960
75.535046,74.966000,-0.569046,00:01:14.966,19036670
