session_time_s,obs_duration_s,difference_s,output_timecode,output_bytes
0.002765,0.000000,-0.002765,00:00:00.000,2215736593
1.013328,0.466000,-0.547328,00:00:00.466,2215875739
2.017647,1.466000,-0.551647,00:00:01.466,2215979000
3.022560,2.466000,-0.556560,00:00:02.466,2216065871
4.025490,3.466000,-0.559490,00:00:03.466,2216347069
5.036536,4.466000,-0.570536,00:00:04.466,2216448924
6.045471,5.499000,-0.546471,00:00:05.499,2216537092
7.052156,6.499000,-0.553156,00:00:06.499,2216617783
8.061984,7.499000,-0.562984,00:00:07.499,2216773065
9.070588,8.499000,-0.571588,00:00:08.499,2217254852
10.079718,9.533000,-0.546718,00:00:09.533,2217866650
11.088739,10.533000,-0.555739,00:00:10.533,2218474379
12.094637,11.533000,-0.561637,00:00:11.533,2219146533
13.098908,12.533000,-0.565908,00:00:12.533,2219769717
14.102076,13.533000,-0.569076,00:00:13.533,2220410290
15.113431,14.566000,-0.547431,00:00:14.566,2221067013
16.118697,15.566000,-0.552697,00:00:15.566,2221715627
17.123547,16.566000,-0.557547,00:00:16.566,2222360909
18.127796,17.566000,-0.561796,00:00:17.566,2223018082
19.132988,18.566000,-0.566988,00:00:18.566,2223672773
20.137780,19.566000,-0.571780,00:00:19.566,2224322507
21.144779,20.599000,-0.545779,00:00:20.599,2225046841
22.151060,21.599000,-0.552060,00:00:21.599,2225694525
23.157870,22.599000,-0.558870,00:00:22.599,2226335853
24.165588,23.599000,-0.566588,00:00:23.599,2226980561
25.173024,24.633000,-0.540024,00:00:24.633,2227659316
26.178818,25.633000,-0.545818,00:00:25.633,2228317383
27.183202,26.633000,-0.550202,00:00:26.633,2228969707
28.188761,27.633000,-0.555761,00:00:27.633,2229604049
29.192387,28.633000,-0.559387,00:00:28.633,2230299078
30.196483,29.633000,-0.563483,00:00:29.633,2230941630
31.200592,30.633000,-0.567592,00:00:30.633,2231596713
32.203043,31.633000,-0.570043,00:00:31.633,2232243590
33.207690,32.633000,-0.574690,00:00:32.633,2232865278
34.210793,33.666000,-0.544793,00:00:33.666,2233520133
35.214968,34.666000,-0.548968,00:00:34.666,2234167308
36.218515,35.666000,-0.552515,00:00:35.666,2234817396
37.222200,36.666000,-0.556200,00:00:36.666,2235497800
38.229681,37.666000,-0.563681,00:00:37.666,2236141841
39.237583,38.666000,-0.571583,00:00:38.666,2236790983
40.238546,39.666000,-0.572546,00:00:39.666,2237434924
41.244382,40.699000,-0.545382,00:00:40.699,2238114929
42.251972,41.699000,-0.552972,00:00:41.699,2238775031
43.255015,42.699000,-0.556015,00:00:42.699,2239437423
44.258618,43.699000,-0.559618,00:00:43.699,2240102988
45.262686,44.699000,-0.563686,00:00:44.699,2240761375
46.269422,45.699000,-0.570422,00:00:45.699,2241465143
47.270949,46.699000,-0.571949,00:00:46.699,2242116998
48.274785,47.699000,-0.575785,00:00:47.699,2242762604
49.278913,48.733000,-0.545913,00:00:48.733,2243426271
50.282820,49.733000,-0.549820,00:00:49.733,2244060445
51.286745,50.733000,-0.553745,00:00:50.733,2244698083
52.292719,51.733000,-0.559719,00:00:51.733,2245346677
53.300350,52.733000,-0.567350,00:00:52.733,2245993844
54.316916,53.766000,-0.550916,00:00:53.766,2246708124
55.322438,54.766000,-0.556438,00:00:54.766,2247356739
56.325951,55.766000,-0.559951,00:00:55.766,2247975916
57.331517,56.766000,-0.565517,00:00:56.766,2248631481
58.332895,57.766000,-0.566895,00:00:57.766,2249285254
59.335934,58.766000,-0.569934,00:00:58.766,2249942754
60.340584,59.766000,-0.574584,00:00:59.766,2250604412
61.344438,60.799000,-0.545438,00:01:00.799,2251275151
62.345484,61.799000,-0.546484,00:01:01.799,2251962479
63.361524,62.799000,-0.562524,00:01:02.799,2252587390
64.367032,63.799000,-0.568032,00:01:03.799,2253228075
65.378618,64.833000,-0.545618,00:01:04.833,2253887553
66.381521,65.833000,-0.548521,00:01:05.833,2254529169
67.397686,66.833000,-0.564686,00:01:06.833,2255179460
68.403007,67.833000,-0.570007,00:01:07.833,2255825792
69.406767,68.833000,-0.573767,00:01:08.833,2256465465
70.411468,69.866000,-0.545468,00:01:09.866,2257165870
71.413187,70.866000,-0.547187,00:01:10.866,2257817602
72.421592,71.866000,-0.555592,00:01:11.866,2258464664
73.430575,72.866000,-0.564575,00:01:12.866,2259106147
74.433037,73.866000,-0.567037,00:01:13.866,2259740022
75.441107,74.866000,-0.575107,00:01:14.866,2260367309
76.445527,75.899000,-0.546527,00:01:15.899,2261025598
