time_s,scheduled_time_s,x,y,z,roll_rad,pitch_rad,yaw_rad,valid
0.003846,0.003840,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.054656,0.053840,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.117983,0.103840,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.165610,0.153840,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.212731,0.203840,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.260783,0.253840,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.307386,0.303840,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.355352,0.353840,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.418510,0.403840,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.492260,0.492258,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.544513,0.542258,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.607370,0.592258,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.655203,0.642258,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.701695,0.692258,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.748786,0.742258,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.796487,0.792258,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.843637,0.842258,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.906494,0.892258,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.952516,0.942258,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
0.998733,0.992258,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
1.046401,1.042258,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
1.093403,1.092258,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
1.157126,1.142258,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
1.203366,1.192258,0.000004,6.000005,1.124696,0.000001134,0.000279546,3.141591787,1
