session_time_s,obs_duration_s,difference_s,output_timecode,output_bytes
0.002416,0.000000,-0.002416,00:00:00.000,5237574465
1.014699,0.433000,-0.581699,00:00:00.433,5237716763
2.018791,1.433000,-0.585791,00:00:01.433,5237828280
3.021920,2.466000,-0.555920,00:00:02.466,5237918257
4.031264,3.466000,-0.565264,00:00:03.466,5237999656
5.039753,4.466000,-0.573753,00:00:04.466,5238077633
6.046260,5.466000,-0.580260,00:00:05.466,5238363899
7.052460,6.499000,-0.553460,00:00:06.499,5238464690
8.059956,7.499000,-0.560956,00:00:07.499,5238557370
9.065822,8.499000,-0.566822,00:00:08.499,5238973853
10.073335,9.499000,-0.574335,00:00:09.499,5239586116
11.077901,10.499000,-0.578901,00:00:10.499,5240225896
12.082049,11.499000,-0.583049,00:00:11.499,5240838699
13.087409,12.499000,-0.588409,00:00:12.499,5241504375
14.095855,13.533000,-0.562855,00:00:13.533,5242246499
15.097819,14.533000,-0.564819,00:00:14.533,5242951164
16.108639,15.533000,-0.575639,00:00:15.533,5243597822
17.117898,16.533000,-0.584898,00:00:16.533,5244222287
18.125567,17.566000,-0.559567,00:00:17.566,5244841309
19.134127,18.566000,-0.568127,00:00:18.566,5245359510
20.139832,19.566000,-0.573832,00:00:19.566,5245984382
21.143351,20.566000,-0.577351,00:00:20.566,5246614785
22.146758,21.566000,-0.580758,00:00:21.566,5247183686
23.155727,22.599000,-0.556727,00:00:22.599,5247830760
24.163551,23.599000,-0.564551,00:00:23.599,5248462673
25.168897,24.599000,-0.569897,00:00:24.599,5249046567
26.172336,25.599000,-0.573336,00:00:25.599,5249183049
27.176886,26.599000,-0.577886,00:00:26.599,5249291484
28.181601,27.599000,-0.582601,00:00:27.599,5249395772
29.187805,28.599000,-0.588805,00:00:28.599,5249502233
30.196846,29.633000,-0.563846,00:00:29.633,5249984977
31.203419,30.633000,-0.570419,00:00:30.633,5250632937
32.207589,31.633000,-0.574589,00:00:31.633,5251295585
33.211360,32.633000,-0.578360,00:00:32.633,5251857701
34.212400,33.633000,-0.579400,00:00:33.633,5252476860
35.214558,34.633000,-0.581558,00:00:34.633,5253158492
36.231326,35.666000,-0.565326,00:00:35.666,5253740601
37.234606,36.666000,-0.568606,00:00:36.666,5254378116
38.237638,37.666000,-0.571638,00:00:37.666,5254976150
39.251481,38.666000,-0.585481,00:00:38.666,5255635002
40.257352,39.699000,-0.558352,00:00:39.699,5256311740
41.258856,40.699000,-0.559856,00:00:40.699,5256959513
42.273790,41.699000,-0.574790,00:00:41.699,5257620755
43.285628,42.699000,-0.586628,00:00:42.699,5258265803
44.288604,43.733000,-0.555604,00:00:43.733,5258925973
45.290049,44.733000,-0.557049,00:00:44.733,5259540063
46.293252,45.733000,-0.560252,00:00:45.733,5260165571
47.308126,46.733000,-0.575126,00:00:46.733,5260823342
48.312751,47.733000,-0.579751,00:00:47.733,5261523598
49.326744,48.766000,-0.560744,00:00:48.766,5262165163
50.342541,49.766000,-0.576541,00:00:49.766,5262795440
51.345793,50.766000,-0.579793,00:00:50.766,5263411057
